,Dwell_100,Dwell_101,mean,std
1000,3.86,1.44,2.65,1.21
1002,3.22,1.74,2.48,0.7400000000000001
1003,13.79,8.91,11.35,2.4399999999999995
1004,5.46,4.56,5.01,0.4500000000000002
1006,15.37,3.67,9.52,5.85
1007,2.6,2.5,2.55,0.050000000000000044
1008,7.2,5.65,6.425000000000001,0.7749999999999999
1009,1.69,,1.69,0.0
1010,6.56,2.05,4.305,2.255
1011,7.1,5.14,6.119999999999999,0.98
1015,3.23,,3.23,0.0
1017,18.27,,18.27,0.0
1018,1.54,2.86,2.2,0.6599999999999999
1019,2.44,2.55,2.495,0.05499999999999994
1020,11.52,,11.52,0.0
1021,11.97,7.51,9.74,2.2300000000000004
1023,3.15,3.18,3.165,0.015000000000000124
1024,2.82,13.94,8.379999999999999,5.56
1025,8.38,6.52,7.45,0.9300000000000006
1026,11.34,3.850000000000001,7.595000000000001,3.7449999999999997
1028,5.15,,5.15,0.0
1030,4.5,,4.5,0.0
1031,13.1,4.1,8.6,4.5
1032,4.55,4.54,4.545,0.004999999999999893
1034,14.85,,14.85,0.0
1035,6.97,,6.97,0.0
1036,12.0,5.09,8.545,3.455
1037,17.57,4.100000000000001,10.835,6.734999999999999
1038,13.0,,13.0,0.0
1039,12.62,16.1,14.36,1.740000000000001
1040,9.09,2.94,6.015,3.0749999999999997
1041,10.43,2.61,6.52,3.91
1042,3.39,8.48,5.9350000000000005,2.5450000000000004
1043,4.47,,4.47,0.0
1044,3.42,4.62,4.02,0.6000000000000001
1046,8.27,,8.27,0.0
1047,12.72,9.79,11.254999999999999,1.4650000000000007
1050,3.6,7.06,5.33,1.7299999999999998
1051,4.62,5.41,5.015000000000001,0.395
1052,19.74,12.56,16.15,3.589999999999999
1053,4.76,4.29,4.525,0.23499999999999988
1054,5.51,12.82,9.165,3.6550000000000002
1055,6.07,,6.07,0.0
1057,7.84,,7.84,0.0
1058,4.199999999999999,2.19,3.1949999999999994,1.0049999999999997
1059,4.18,11.45,7.8149999999999995,3.635
1060,2.32,14.48,8.4,6.08
1061,9.129999999999999,5.73,7.43,1.6999999999999993
1063,3.2,,3.2,0.0
1064,3.6,3.13,3.365,0.2350000000000001
1065,16.63,3.46,10.045,6.585
1066,9.46,7.05,8.255,1.2050000000000005
1067,3.73,3.53,3.63,0.10000000000000009
1068,17.51,3.82,10.665000000000001,6.845000000000001
1071,13.97,9.64,11.805,2.165
1072,1.28,3.0,2.14,0.86
1074,17.77,,17.77,0.0
1075,7.3,2.9,5.1,2.2
1077,12.78,2.05,7.414999999999999,5.365
1078,4.14,7.25,5.695,1.5550000000000002
1079,4.2,,4.2,0.0
1080,12.83,8.72,10.775,2.0549999999999997
1081,1.2,3.52,2.36,1.1600000000000001
1083,1.87,5.27,3.57,1.6999999999999997
1084,0.82,12.78,6.8,5.9799999999999995
1086,3.81,11.4,7.605,3.7950000000000004
1088,15.94,,15.94,0.0
1090,10.03,2.24,6.135,3.8949999999999996
1092,2.38,13.75,8.065,5.6850000000000005
1095,7.26,1.43,4.345,2.915
1096,5.17,2.63,3.9,1.27
1097,2.5,1.47,1.9849999999999999,0.515
1098,8.0,11.73,9.865,1.8650000000000002
1099,11.97,,11.97,0.0
1100,6.64,4.4,5.52,1.1199999999999997
1104,3.34,5.28,4.3100000000000005,0.9700000000000002
1105,5.16,11.03,8.094999999999999,2.9349999999999996
1111,12.42,,12.42,0.0
1113,2.13,,2.13,0.0
1114,13.96,18.65,16.305,2.344999999999999
1115,7.25,4.99,6.12,1.13
1116,4.31,2.34,3.3249999999999997,0.9849999999999999
1118,1.8,,1.8,0.0
1119,3.7,4.89,4.295,0.5949999999999998
1121,10.33,13.74,12.035,1.705
1123,4.359999999999999,1.82,3.09,1.2699999999999998
1124,4.9,7.0,5.95,1.0499999999999998
1125,19.05,4.92,11.985,7.065
1126,11.73,,11.73,0.0
1127,2.12,,2.12,0.0
1129,2.86,3.58,3.2199999999999998,0.3600000000000001
1130,12.42,,12.42,0.0
1131,6.47,5.41,5.9399999999999995,0.5299999999999998
1133,14.56,6.42,10.49,4.07
1134,5.99,13.05,9.52,3.5300000000000002
1135,2.88,,2.88,0.0
1136,6.13,6.79,6.46,0.33000000000000007
1137,24.47,6.35,15.41,9.059999999999999
1139,4.94,3.37,4.155,0.7850000000000001
1140,2.09,,2.09,0.0
1141,1.42,,1.42,0.0
1142,1.3,3.42,2.36,1.06
1143,4.0,2.48,3.24,0.76
1144,8.3,,8.3,0.0
1148,1.16,7.109999999999999,4.135,2.9749999999999996
1150,12.82,9.73,11.275,1.545
1151,3.36,6.67,5.015,1.655
1153,6.28,1.61,3.9450000000000003,2.335
1154,6.199999999999999,10.64,8.42,2.2200000000000006
1155,3.36,4.11,3.7350000000000003,0.3750000000000002
1157,7.81,,7.81,0.0
1159,2.57,6.63,4.6,2.03
1161,15.89,2.43,9.16,6.73
1163,3.29,5.640000000000001,4.465,1.1750000000000003
1164,8.54,3.0,5.77,2.7699999999999996
1166,9.09,3.17,6.13,2.96
1167,5.31,7.51,6.41,1.1
1168,7.78,4.49,6.135,1.645
1169,2.93,3.28,3.105,0.17499999999999982
1170,9.48,4.49,6.985,2.495
1171,3.44,7.08,5.26,1.82
1173,2.5,,2.5,0.0
1175,1.53,7.34,4.435,2.9049999999999994
1176,17.3,,17.3,0.0
1177,1.27,5.38,3.325,2.055
1179,7.12,,7.12,0.0
1180,1.97,6.53,4.25,2.2800000000000002
1181,4.52,2.56,3.54,0.9799999999999998
1182,9.17,10.77,9.969999999999999,0.7999999999999998
1183,2.82,5.25,4.035,1.215
1184,2.82,5.69,4.255,1.4350000000000003
1186,1.98,,1.98,0.0
1190,3.22,2.81,3.015,0.20500000000000007
1191,1.5,5.95,3.725,2.225
1192,2.68,,2.68,0.0
1193,7.83,6.43,7.13,0.7000000000000002
1194,2.39,6.140000000000001,4.265000000000001,1.8750000000000002
1195,3.36,,3.36,0.0
1196,15.03,7.699999999999999,11.364999999999998,3.665
1197,6.0,5.14,5.57,0.43000000000000016
1198,18.69,7.08,12.885000000000002,5.805
1200,4.35,,4.35,0.0
1201,2.34,3.44,2.8899999999999997,0.55
1203,3.7,14.74,9.22,5.52
1204,17.87,6.06,11.965,5.905
1205,7.08,7.8,7.4399999999999995,0.35999999999999993
1206,6.01,14.69,10.35,4.34
1207,10.68,15.29,12.985,2.3049999999999997
1208,9.43,12.57,11.0,1.5700000000000003
1209,8.89,4.7,6.795,2.095
1210,12.26,3.46,7.859999999999999,4.4
1211,8.39,14.57,11.48,3.09
1213,10.01,8.11,9.059999999999999,0.9500000000000002
1214,5.86,2.9,4.38,1.4800000000000002
1215,2.0,,2.0,0.0
1216,2.54,7.97,5.255,2.715
1218,3.42,3.31,3.365,0.05499999999999994
1220,19.33,,19.33,0.0
1221,3.04,,3.04,0.0
1222,4.16,3.24,3.7,0.45999999999999996
1223,6.15,2.96,4.555,1.5950000000000002
1224,14.27,6.35,10.309999999999999,3.96
1225,7.66,4.09,5.875,1.7850000000000001
1226,1.87,,1.87,0.0
1227,6.6,,6.6,0.0
1228,8.9,6.18,7.54,1.3600000000000003
1229,7.04,1.97,4.505,2.535
1231,12.78,2.54,7.66,5.12
1232,2.98,11.04,7.01,4.03
1233,3.56,2.06,2.81,0.75
1234,2.28,,2.28,0.0
1236,3.94,1.47,2.705,1.2349999999999999
1237,2.83,6.24,4.535,1.705
1239,3.15,3.66,3.4050000000000002,0.2550000000000001
1240,3.68,5.49,4.585,0.905
1241,7.1,9.44,8.27,1.17
1243,6.19,2.02,4.105,2.0850000000000004
1244,2.32,,2.32,0.0
1245,5.63,5.91,5.77,0.14000000000000012
1246,20.23,3.21,11.72,8.510000000000002
1247,11.09,2.61,6.85,4.24
1248,9.39,,9.39,0.0
1249,6.800000000000001,13.84,10.32,3.5199999999999996
1250,3.16,,3.16,0.0
1251,3.09,9.31,6.2,3.1100000000000003
1252,3.17,4.1,3.635,0.46499999999999986
1253,1.64,4.5,3.07,1.4300000000000002
1254,2.25,2.98,2.615,0.365
1256,2.11,4.07,3.09,0.9800000000000002
1257,3.6,10.82,7.21,3.61
1258,4.37,1.87,3.12,1.25
1259,3.31,1.57,2.44,0.87
1260,1.87,2.69,2.2800000000000002,0.4099999999999999
1261,3.7,9.79,6.744999999999999,3.0449999999999995
1262,13.98,16.93,15.455,1.4749999999999996
1264,6.04,,6.04,0.0
1265,7.49,,7.49,0.0
1266,5.720000000000001,,5.720000000000001,0.0
1267,2.74,8.04,5.39,2.6499999999999995
1268,5.79,1.7,3.745,2.045
1270,7.59,9.58,8.585,0.9950000000000001
1271,3.44,3.69,3.565,0.125
1272,8.07,,8.07,0.0
1274,9.21,,9.21,0.0
1276,3.26,13.46,8.36,5.1000000000000005
1277,4.390000000000001,,4.390000000000001,0.0
1278,4.38,2.85,3.615,0.7649999999999999
1280,6.9,6.85,6.875,0.025000000000000355
1281,5.79,3.02,4.405,1.385
1282,5.22,3.1,4.16,1.0599999999999998
1284,2.16,,2.16,0.0
1285,3.82,,3.82,0.0
1286,1.62,7.52,4.57,2.9499999999999993
1287,7.93,,7.93,0.0
1291,2.41,,2.41,0.0
1292,18.14,7.21,12.675,5.465000000000001
1293,2.83,4.99,3.91,1.08
1296,15.1,3.76,9.43,5.67
1297,9.1,3.26,6.18,2.92
1299,6.78,,6.78,0.0
1300,21.36,10.41,15.885,5.475
1302,12.12,5.55,8.834999999999999,3.2849999999999997
1303,19.0,,19.0,0.0
1304,1.54,,1.54,0.0
1305,1.93,1.56,1.745,0.18499999999999994
1306,8.44,12.08,10.26,1.8200000000000003
1307,3.69,2.34,3.0149999999999997,0.675
1308,5.82,13.49,9.655000000000001,3.835
1309,10.15,7.31,8.73,1.4200000000000004
1310,9.03,7.57,8.3,0.7299999999999995
1311,2.15,,2.15,0.0
1312,3.29,1.5,2.395,0.895
1313,3.08,3.75,3.415,0.33499999999999996
1314,2.98,,2.98,0.0
1316,2.24,6.63,4.4350000000000005,2.195
1317,2.32,,2.32,0.0
1318,1.19,2.7,1.945,0.7550000000000001
1319,6.46,,6.46,0.0
1320,2.87,2.13,2.5,0.3700000000000001
1321,2.61,3.82,3.215,0.605
1322,3.22,3.02,3.12,0.10000000000000009
1323,3.72,5.97,4.845,1.1249999999999998
1324,11.85,3.4,7.625,4.225
1325,5.85,7.2,6.525,0.6750000000000003
1326,6.449999999999999,7.02,6.734999999999999,0.28500000000000014
1327,4.35,8.14,6.245,1.8950000000000005
1328,9.55,,9.55,0.0
1329,12.22,8.01,10.115,2.1050000000000004
1330,3.75,,3.75,0.0
1332,5.25,,5.25,0.0
1333,1.87,2.44,2.1550000000000002,0.2849999999999999
1334,11.69,3.93,7.81,3.88
1336,16.07,9.49,12.780000000000001,3.29
1337,4.37,3.18,3.7750000000000004,0.595
1338,6.79,2.35,4.57,2.22
1340,8.98,3.24,6.11,2.87
1341,3.77,5.44,4.605,0.8350000000000002
1342,3.55,4.9,4.225,0.6750000000000003
1344,2.01,,2.01,0.0
1345,3.0,,3.0,0.0
1346,6.73,1.28,4.005,2.725
1348,2.3,,2.3,0.0
1349,5.98,3.9,4.94,1.0400000000000003
1350,2.58,2.12,2.35,0.22999999999999998
1351,16.27,4.67,10.469999999999999,5.8
1352,16.28,3.75,10.015,6.265000000000001
1353,4.9,6.0,5.45,0.5499999999999998
1354,6.65,,6.65,0.0
1356,6.12,7.79,6.955,0.835
1357,2.38,,2.38,0.0
1358,2.11,,2.11,0.0
1359,5.61,,5.61,0.0
1360,12.34,,12.34,0.0
1361,2.95,,2.95,0.0
1362,5.69,1.85,3.7700000000000005,1.9200000000000002
1364,1.28,12.21,6.745,5.465000000000001
1365,3.58,11.78,7.68,4.1
1366,5.44,15.27,10.355,4.915
1367,6.64,5.76,6.199999999999999,0.43999999999999995
1368,12.86,6.630000000000001,9.745000000000001,3.1149999999999993
1369,6.07,,6.07,0.0
1370,3.49,11.59,7.54,4.05
1371,3.58,5.89,4.734999999999999,1.1549999999999998
1372,6.72,6.11,6.415,0.3049999999999997
1373,5.720000000000001,1.9,3.8100000000000005,1.9100000000000004
1374,10.41,,10.41,0.0
1376,7.68,1.67,4.675,3.005
1380,12.24,,12.24,0.0
1381,1.29,,1.29,0.0
1382,3.23,15.65,9.44,6.21
1383,10.68,12.0,11.34,0.6600000000000001
1384,1.85,5.0,3.425,1.575
1385,3.77,2.57,3.17,0.6000000000000001
1386,9.53,,9.53,0.0
1387,4.8,1.73,3.2649999999999997,1.535
1388,1.15,3.81,2.48,1.33
1389,1.64,5.13,3.385,1.7449999999999999
1390,1.63,4.98,3.305,1.6750000000000003
1391,13.61,2.28,7.944999999999999,5.665
1392,16.57,3.49,10.030000000000001,6.540000000000001
1393,4.8,7.03,5.915,1.1150000000000002
1394,1.24,,1.24,0.0
1395,17.43,4.1,10.765,6.665
1396,7.02,13.84,10.43,3.41
1398,3.26,2.42,2.84,0.41999999999999993
1399,5.42,13.12,9.27,3.8499999999999996
1401,21.97,5.79,13.879999999999999,8.089999999999998
1402,5.890000000000001,2.89,4.390000000000001,1.5000000000000002
1403,15.51,3.76,9.635,5.875
1405,3.95,6.55,5.25,1.2999999999999998
1406,6.17,4.82,5.495,0.6749999999999998
1407,1.63,,1.63,0.0
1409,4.79,11.73,8.26,3.47
1410,2.2,3.18,2.6900000000000004,0.49
1411,9.44,3.53,6.484999999999999,2.955
1412,1.17,3.86,2.5149999999999997,1.345
1414,7.64,4.24,5.9399999999999995,1.6999999999999997
1416,1.64,12.83,7.235,5.595000000000001
1417,3.75,3.2,3.475,0.2749999999999999
1418,10.33,12.97,11.65,1.3200000000000003
1420,7.18,2.39,4.785,2.3949999999999996
1421,2.43,2.96,2.6950000000000003,0.2649999999999999
1423,1.55,,1.55,0.0
1424,2.8,1.77,2.285,0.5149999999999999
1425,3.01,,3.01,0.0
1428,7.19,7.18,7.1850000000000005,0.0050000000000003375
1429,4.36,1.99,3.1750000000000003,1.185
1430,11.43,,11.43,0.0
1431,5.26,,5.26,0.0
1432,12.57,1.29,6.93,5.640000000000001
1433,2.83,2.05,2.44,0.3900000000000001
1434,15.52,4.29,9.905,5.615
1435,2.07,2.62,2.3449999999999998,0.27500000000000013
1436,2.83,11.73,7.28,4.45
1438,4.949999999999999,11.02,7.984999999999999,3.035
1439,3.24,,3.24,0.0
1440,3.73,,3.73,0.0
1441,5.18,,5.18,0.0
1442,5.95,4.26,5.105,0.8450000000000002
1443,3.64,7.26,5.45,1.8099999999999998
1445,6.9,8.27,7.585,0.6849999999999996
1446,3.15,,3.15,0.0
1447,18.02,5.32,11.67,6.35
1449,3.53,5.47,4.5,0.97
1450,1.68,7.43,4.555,2.875
1451,2.69,6.57,4.63,1.9400000000000002
1453,3.12,13.09,8.105,4.984999999999999
1455,12.84,,12.84,0.0
1456,6.13,7.18,6.654999999999999,0.5249999999999999
1457,3.42,4.5,3.96,0.54
1458,6.02,2.19,4.1049999999999995,1.9149999999999998
1460,2.5,6.720000000000001,4.61,2.1100000000000003
1461,6.37,1.46,3.915,2.455
1462,3.25,3.17,3.21,0.040000000000000036
1464,2.49,8.23,5.36,2.87
1467,4.41,3.23,3.8200000000000003,0.5900000000000001
1470,4.01,2.83,3.42,0.5899999999999999
1471,3.29,3.97,3.63,0.3400000000000001
1472,6.23,3.9,5.065,1.1650000000000003
1474,8.17,5.93,7.05,1.12
1475,2.55,1.52,2.035,0.5149999999999999
1476,3.6,1.39,2.495,1.1050000000000002
1477,8.58,,8.58,0.0
1479,16.37,3.21,9.790000000000001,6.58
1480,6.82,2.1,4.46,2.36
1481,6.7,2.96,4.83,1.87
1485,12.85,9.629999999999999,11.239999999999998,1.6100000000000003
1487,12.64,,12.64,0.0
1488,5.64,1.72,3.6799999999999997,1.9599999999999997
1490,5.99,9.01,7.5,1.5099999999999998
1491,13.8,7.88,10.84,2.9600000000000004
1493,5.41,2.85,4.13,1.28
1494,6.59,,6.59,0.0
1495,6.35,3.76,5.055,1.295
1496,1.49,,1.49,0.0
1497,9.559999999999999,3.51,6.534999999999999,3.0249999999999995
1500,6.47,16.0,11.235,4.765000000000001
1501,5.1,16.0,10.55,5.45
1502,3.33,,3.33,0.0
1503,7.67,16.18,11.925,4.255
1504,9.57,,9.57,0.0
1505,8.629999999999999,2.2,5.414999999999999,3.2149999999999994
1507,3.97,4.31,4.14,0.1699999999999997
1508,21.48,3.65,12.565,8.915000000000001
1509,3.13,7.08,5.105,1.975
1510,3.23,,3.23,0.0
1511,14.23,10.72,12.475000000000001,1.755
1512,5.28,7.15,6.215,0.935
1513,2.23,,2.23,0.0
1514,5.67,4.0,4.835,0.835
1515,7.67,3.12,5.395,2.275
1516,5.15,5.52,5.335,0.1849999999999996
1517,9.24,2.5,5.87,3.37
1518,10.4,,10.4,0.0
1520,12.13,2.34,7.235,4.8950000000000005
1522,6.52,,6.52,0.0
1523,2.09,,2.09,0.0
1524,8.91,7.44,8.175,0.7349999999999999
1525,6.26,,6.26,0.0
1528,2.76,,2.76,0.0
1529,4.47,10.69,7.58,3.11
1530,5.449999999999999,7.470000000000001,6.46,1.0100000000000007
1531,7.03,,7.03,0.0
1532,9.4,3.37,6.385,3.015
1533,2.39,5.08,3.7350000000000003,1.345
1534,5.35,6.98,6.165,0.8150000000000004
1535,4.57,13.92,9.245000000000001,4.675
1536,4.470000000000001,6.26,5.365,0.8949999999999996
1538,4.59,1.42,3.005,1.585
1539,8.06,8.54,8.3,0.23999999999999932
1540,13.17,1.73,7.45,5.720000000000001
1541,9.22,13.03,11.125,1.9049999999999994
1543,1.79,4.54,3.165,1.375
1544,15.44,12.28,13.86,1.58
1545,8.06,3.32,5.69,2.37
1548,9.75,8.99,9.370000000000001,0.3799999999999999
1550,4.66,,4.66,0.0
1553,2.1,4.8,3.45,1.3499999999999999
1554,2.75,12.04,7.395,4.645
1555,3.5,2.58,3.04,0.45999999999999996
1557,8.61,5.32,6.965,1.6449999999999996
1558,3.82,,3.82,0.0
1559,1.63,2.28,1.9549999999999998,0.32499999999999996
1560,18.57,4.04,11.305,7.265
1561,6.26,4.96,5.609999999999999,0.6499999999999999
1562,3.78,11.81,7.795,4.015000000000001
1563,9.47,5.66,7.565,1.9050000000000002
1565,5.16,,5.16,0.0
1566,2.13,3.29,2.71,0.5800000000000001
