,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
1008,19.0,,,,19.0,0.0
1018,8.0,,,4.0,6.0,2.0
1020,30.0,,,,30.0,0.0
1030,29.0,,,,29.0,0.0
1031,24.0,,,,24.0,0.0
1033,28.0,,30.0,22.0,26.666666666666668,3.39934634239519
1053,24.0,,4.0,4.0,10.666666666666666,9.428090415820634
1061,20.0,,,,20.0,0.0
1064,42.0,,,,42.0,0.0
1077,4.0,,,,4.0,0.0
1089,25.0,,,,25.0,0.0
1095,27.0,,,,27.0,0.0
1099,22.0,19.0,,,20.5,1.5
1103,42.0,,,,42.0,0.0
1105,19.0,6.0,,,12.5,6.5
1123,20.0,,42.0,,31.0,11.0
1132,20.0,,,,20.0,0.0
1147,31.0,,,,31.0,0.0
1148,25.0,20.0,,4.0,16.333333333333332,8.956685895029603
1152,30.0,,,,30.0,0.0
1157,42.0,,,,42.0,0.0
1173,23.0,,,,23.0,0.0
1182,24.0,,,,24.0,0.0
1188,43.0,,,,43.0,0.0
1189,42.0,,,,42.0,0.0
1191,17.0,,30.0,21.0,22.666666666666668,5.436502143433364
1197,7.0,,,,7.0,0.0
1206,4.0,,,,4.0,0.0
1208,21.0,,,,21.0,0.0
1209,27.0,6.0,,,16.5,10.5
1222,41.0,,4.0,,22.5,18.5
1236,6.0,,,,6.0,0.0
1238,29.0,,,29.0,29.0,0.0
1253,26.0,,,,26.0,0.0
1254,19.0,,,,19.0,0.0
1264,31.0,,,,31.0,0.0
1265,8.0,,,,8.0,0.0
1272,26.0,,,24.0,25.0,1.0
1275,20.0,,,,20.0,0.0
1278,17.0,,31.0,,24.0,7.0
1291,4.0,23.0,,,13.5,9.5
1292,24.0,24.0,43.0,,30.333333333333332,8.956685895029603
1302,4.0,19.0,,,11.5,7.5
1308,30.0,,,,30.0,0.0
1312,4.0,18.0,,,11.0,7.0
1329,19.0,,,,19.0,0.0
1337,20.0,,42.0,,31.0,11.0
1342,8.0,,,27.0,17.5,9.5
1349,24.0,,,,24.0,0.0
1359,18.0,,,,18.0,0.0
1361,4.0,19.0,,,11.5,7.5
1379,7.0,,,,7.0,0.0
1386,21.0,,,,21.0,0.0
1389,21.0,,,,21.0,0.0
1391,17.0,,,29.0,23.0,6.0
1395,6.0,,,,6.0,0.0
1400,4.0,24.0,,,14.0,10.0
1418,18.0,,,,18.0,0.0
1427,31.0,,,,31.0,0.0
1432,29.0,,,,29.0,0.0
1438,24.0,,,,24.0,0.0
1447,4.0,,7.0,7.0,6.0,1.4142135623730951
1450,20.0,,,,20.0,0.0
1456,31.0,26.0,,,28.5,2.5
1468,42.0,30.0,,19.0,30.333333333333332,9.392668535736915
1473,4.0,29.0,,4.0,12.333333333333334,11.785113019775793
1474,22.0,,,4.0,13.0,9.0
1488,30.0,,,,30.0,0.0
1496,24.0,,,,24.0,0.0
1504,19.0,,24.0,,21.5,2.5
1505,21.0,,42.0,,31.5,10.5
1512,7.0,,,,7.0,0.0
1517,29.0,,,,29.0,0.0
1522,19.0,,4.0,,11.5,7.5
1525,4.0,,21.0,,12.5,8.5
1526,27.0,42.0,,,34.5,7.5
1529,22.0,,4.0,,13.0,9.0
1537,8.0,,,,8.0,0.0
1540,4.0,,,,4.0,0.0
1546,7.0,,,,7.0,0.0
1554,21.0,,,30.0,25.5,4.5
1568,19.0,,19.0,,19.0,0.0
1570,4.0,,,,4.0,0.0
1580,21.0,,,,21.0,0.0
1585,22.0,,,,22.0,0.0
1588,23.0,,,,23.0,0.0
1592,26.0,,,,26.0,0.0
1596,8.0,,,,8.0,0.0
1598,31.0,,,,31.0,0.0
1600,29.0,,,,29.0,0.0
1603,25.0,,,,25.0,0.0
1604,28.0,23.0,,,25.5,2.5
1606,24.0,,,,24.0,0.0
1617,43.0,,,,43.0,0.0
1626,5.0,,,41.0,23.0,18.0
1633,8.0,,,,8.0,0.0
1638,27.0,,,4.0,15.5,11.5
1643,20.0,4.0,4.0,,9.333333333333334,7.542472332656507
1648,42.0,,,,42.0,0.0
1652,21.0,,,,21.0,0.0
1656,20.0,,,,20.0,0.0
1668,4.0,,,,4.0,0.0
1669,7.0,4.0,,4.0,5.0,1.4142135623730951
1674,26.0,,,,26.0,0.0
1690,26.0,,,,26.0,0.0
1696,4.0,,,,4.0,0.0
1698,4.0,,,,4.0,0.0
1701,30.0,,,,30.0,0.0
1703,21.0,,24.0,23.0,22.666666666666668,1.247219128924647
